corp_code,stock_code,corp_name,industry_id,is_primary,level,level_category,memo,updated_at
00126566,012450,한화에어로스페이스,defense,TRUE,A,대표기업,,2026-07-09
00503668,079550,LIG디펜스앤에어로스페이스,defense,TRUE,A,대표기업,,2026-07-09
00309503,047810,한국항공우주,defense,TRUE,A,대표기업,,2026-07-09
00302926,064350,현대로템,defense,TRUE,A,대표기업,,2026-07-09
00339391,272210,한화시스템,defense,TRUE,A,대표기업,,2026-07-09
00684714,103140,풍산,defense,TRUE,A,대표기업,,2026-07-09
00385363,065450,빅텍,defense,TRUE,A,대표기업,,2026-07-09
00612489,214430,아이쓰리시스템,defense,TRUE,A,대표기업,,2026-07-09
01014718,361390,제노코,defense,TRUE,A,대표기업,,2026-07-09
00959210,448710,코츠테크놀로지,defense,TRUE,A,대표기업,,2026-07-09
01286476,474610,RF시스템즈,defense,TRUE,A,대표기업,,2026-07-09
01063884,215090,솔디펜스,defense,TRUE,A,대표기업,,2026-07-09
00141583,484590,삼양컴텍,defense,TRUE,A,대표기업,,2026-07-09
00111704,042660,한화오션,defense,FALSE,B,주요기업,,2026-07-09
01390344,329180,HD현대중공업,defense,FALSE,B,주요기업,,2026-07-09
00480455,077970,STX엔진,defense,TRUE,B,주요기업,,2026-07-09
00134477,003570,SNT다이내믹스,defense,TRUE,B,주요기업,,2026-07-09
00111421,005870,휴니드,defense,TRUE,B,주요기업,,2026-07-09
00148522,010820,퍼스텍,defense,TRUE,B,주요기업,,2026-07-09
00344287,042670,HD현대인프라코어,defense,FALSE,B,주요기업,,2026-07-09
00449254,099320,쎄트렉아이,defense,FALSE,B,주요기업,,2026-07-09
00874803,211270,AP위성,defense,FALSE,B,주요기업,,2026-07-09
01685251,451760,컨텍,defense,FALSE,B,주요기업,,2026-07-09
01513440,368770,파이버프로,defense,TRUE,B,주요기업,,2026-07-09
00526696,095270,웨이브일렉트로,defense,TRUE,B,주요기업,,2026-07-09
00154718,082920,비츠로셀,defense,FALSE,B,주요기업,,2026-07-09
