corp_name,stock_code,ebitda_2025_억원,회계기준,출처
SK하이닉스,000660,611344,연결,한경
삼성전자,005930,905407,연결,한경
DB하이텍,000990,4450,연결,한경
ISC,095340,700,연결,한경
LX세미콘,108320,1462,연결,한경
SFA반도체,036540,195,연결,한경
HPSP,403870,942.5,별도,네이버
가온칩스,399720,-92.4,연결,네이버
고영,098460,311.4,연결,네이버
넥스틴,348210,33.7,연결,네이버
두산테스나,131970,1662.1,별도,네이버
리노공업,058470,1902.1,별도,네이버
심텍,222800,976.1,연결,네이버
에스앤에스텍,101490,652.4,연결,네이버
와이씨,232140,274.1,연결,네이버
원익IPS,240810,1133.4,연결,네이버
유진테크,084370,690.5,연결,네이버
이오테크닉스,039030,867.0,연결,네이버
제주반도체,080220,383.8,연결,네이버
주성엔지니어링,036930,504.1,연결,네이버
케이씨텍,281820,768.8,연결,네이버
코미코,183300,1624.6,연결,네이버
태성,323280,-10.7,연결,네이버
테크윙,089030,319.3,연결,네이버
티씨케이,064760,979.0,별도,네이버
파두,440110,-547.2,연결,네이버
피에스케이,319660,982.1,연결,네이버
피에스케이홀딩스,031980,802.5,연결,네이버
필옵틱스,161580,-277.8,연결,네이버
하나마이크론,067310,2855.3,연결,네이버
하나머티리얼즈,166090,841.6,연결,네이버
한미반도체,042700,2629.4,연결,네이버
HD현대에너지솔루션,322000,536.8,연결,네이버
RFHIC,218410,391.1,연결,네이버
덕산네오룩스,213420,773.9,연결,네이버
