corp_code,stock_code,corp_name,year,fs_div,sj_div,account_name,amount,memo,updated_at
00874803,211270,AP위성,2025,OFS,CIS,매출액,"47,812,373,057",원천계정명: 수익(매출액),2026-07-09
00874803,211270,AP위성,2025,OFS,CIS,영업이익,"-4,301,222,143",원천계정명: 영업이익(손실),2026-07-09
00874803,211270,AP위성,2025,OFS,CF,영업활동현금흐름,"-4,460,659,186",,2026-07-09
00874803,211270,AP위성,2025,,,계약자산,,"표준 매칭 없음, 유사계정: 대손충당금, 단기미청구공사|단기미청구공사, 총액",2026-07-09
00874803,211270,AP위성,2025,,,계약부채,,"표준 매칭 없음, 유사계정: 단기초과청구공사",2026-07-09
00874803,211270,AP위성,2025,OFS,BS,매출채권,"21,384,979,676","합산 원천계정: 단기미수금, 총액|대손충당금, 단기미수금|대손충당금, 매출채권|매출채권|매출채권 및 기타유동채권|부가가치세대급금|장기매출채권 및 기타비유동채권, 총액",2026-07-09
00874803,211270,AP위성,2025,OFS,BS,재고자산,"16,486,278,400",원천계정명: 유동재고자산,2026-07-09
00874803,211270,AP위성,2024,OFS,CIS,매출액,"58,631,773,787",원천계정명: 수익(매출액),2026-07-09
00874803,211270,AP위성,2024,OFS,CIS,영업이익,"7,300,333,201",원천계정명: 영업이익(손실),2026-07-09
00874803,211270,AP위성,2024,OFS,CF,영업활동현금흐름,"-7,110,307,117",,2026-07-09
00874803,211270,AP위성,2024,,,계약자산,,"표준 매칭 없음, 유사계정: 대손충당금, 단기미청구공사|단기미청구공사, 총액",2026-07-09
00874803,211270,AP위성,2024,,,계약부채,,"표준 매칭 없음, 유사계정: 단기초과청구공사",2026-07-09
00874803,211270,AP위성,2024,OFS,BS,매출채권,"18,862,371,040","합산 원천계정: 단기미수금, 총액|대손충당금, 단기미수금|대손충당금, 매출채권|매출채권|매출채권 및 기타유동채권|부가가치세대급금|장기매출채권 및 기타비유동채권, 총액",2026-07-09
00874803,211270,AP위성,2024,OFS,BS,재고자산,"21,103,318,380",원천계정명: 유동재고자산,2026-07-09
00874803,211270,AP위성,2023,OFS,CIS,매출액,"49,434,135,093",원천계정명: 수익(매출액),2026-07-09
00874803,211270,AP위성,2023,OFS,CIS,영업이익,"10,071,432,183",원천계정명: 영업이익(손실),2026-07-09
00874803,211270,AP위성,2023,OFS,CF,영업활동현금흐름,"28,310,238,978",,2026-07-09
00874803,211270,AP위성,2023,,,계약자산,,"표준 매칭 없음, 유사계정: 대손충당금, 단기미청구공사|단기미청구공사",2026-07-09
00874803,211270,AP위성,2023,,,계약부채,,"표준 매칭 없음, 유사계정: 단기초과청구공사",2026-07-09
00874803,211270,AP위성,2023,OFS,BS,매출채권,"17,573,056,914","합산 원천계정: 단기미수금|대손충당금, 단기미수금|대손충당금, 매출채권|매출채권|매출채권 및 기타유동채권|부가가치세대급금|장기매출채권 및 기타비유동채권",2026-07-09
00874803,211270,AP위성,2023,OFS,BS,재고자산,"25,145,721,055",원천계정명: 유동재고자산,2026-07-09
00874803,211270,AP위성,2022,OFS,CIS,매출액,"53,604,126,086",원천계정명: 수익(매출액),2026-07-09
00874803,211270,AP위성,2022,OFS,CIS,영업이익,"4,494,271,143",원천계정명: 영업이익(손실),2026-07-09
00874803,211270,AP위성,2022,OFS,CF,영업활동현금흐름,"7,638,559,894",,2026-07-09
00874803,211270,AP위성,2022,,,계약자산,,"표준 매칭 없음, 유사계정: 단기미청구공사",2026-07-09
00874803,211270,AP위성,2022,,,계약부채,,"표준 매칭 없음, 유사계정: 단기초과청구공사",2026-07-09
00874803,211270,AP위성,2022,OFS,BS,매출채권,"27,671,377,152",합산 원천계정: 단기미수금|대손충당금|매출채권|매출채권 및 기타유동채권|부가가치세대급금|장기매출채권 및 기타비유동채권,2026-07-09
00874803,211270,AP위성,2022,OFS,BS,재고자산,"11,054,861,375",,2026-07-09
00874803,211270,AP위성,2021,OFS,CIS,매출액,"40,201,720,460",원천계정명: 수익(매출액),2026-07-09
00874803,211270,AP위성,2021,OFS,CIS,영업이익,"842,198,469",원천계정명: 영업이익(손실),2026-07-09
00874803,211270,AP위성,2021,OFS,CF,영업활동현금흐름,"-1,505,269,983",,2026-07-09
00874803,211270,AP위성,2021,,,계약자산,,"표준 매칭 없음, 유사계정: 단기미청구공사",2026-07-09
00874803,211270,AP위성,2021,,,계약부채,,"표준 매칭 없음, 유사계정: 단기초과청구공사",2026-07-09
00874803,211270,AP위성,2021,OFS,BS,매출채권,"34,547,058,533",합산 원천계정: 단기미수금|대손충당금|매출채권|매출채권 및 기타유동채권|부가가치세대급금|장기매출채권 및 기타비유동채권,2026-07-09
00874803,211270,AP위성,2021,OFS,BS,재고자산,"10,928,927,149",,2026-07-09
01390344,329180,HD현대중공업,2025,CFS,CIS,매출액,"17,580,633,257,000",,2026-07-09
01390344,329180,HD현대중공업,2025,CFS,CIS,영업이익,"2,037,510,103,000",,2026-07-09
01390344,329180,HD현대중공업,2025,CFS,CF,영업활동현금흐름,"3,510,392,442,000",원천계정명: 영업활동으로 인한 순현금흐름,2026-07-09
01390344,329180,HD현대중공업,2025,CFS,BS,계약자산,"6,433,996,709,000",합산 원천계정: 계약자산|확정계약자산,2026-07-09
01390344,329180,HD현대중공업,2025,CFS,BS,계약부채,"10,844,050,215,000",합산 원천계정: 계약부채|장기계약부채|확정계약부채,2026-07-09
01390344,329180,HD현대중공업,2025,CFS,BS,매출채권,"1,806,002,446,000",합산 원천계정: 매출채권및기타채권|장기매출채권및기타채권,2026-07-09
01390344,329180,HD현대중공업,2025,CFS,BS,재고자산,"2,016,750,847,000",,2026-07-09
01390344,329180,HD현대중공업,2024,CFS,CIS,매출액,"14,486,453,544,000",,2026-07-09
01390344,329180,HD현대중공업,2024,CFS,CIS,영업이익,"705,223,483,000",원천계정명: 영업이익(손실),2026-07-09
01390344,329180,HD현대중공업,2024,CFS,CF,영업활동현금흐름,"2,883,882,708,000",원천계정명: 영업활동으로 인한 순현금흐름,2026-07-09
01390344,329180,HD현대중공업,2024,CFS,BS,계약자산,"5,390,385,121,000",합산 원천계정: 계약자산|확정계약자산,2026-07-09
01390344,329180,HD현대중공업,2024,CFS,BS,계약부채,"7,728,322,673,000",합산 원천계정: 계약부채|장기계약부채|확정계약부채,2026-07-09
01390344,329180,HD현대중공업,2024,CFS,BS,매출채권,"1,785,402,427,000",합산 원천계정: 매출채권및기타채권|장기매출채권및기타채권,2026-07-09
01390344,329180,HD현대중공업,2024,CFS,BS,재고자산,"1,510,905,566,000",,2026-07-09
01390344,329180,HD현대중공업,2023,CFS,CIS,매출액,"11,963,925,991,000",,2026-07-09
01390344,329180,HD현대중공업,2023,CFS,CIS,영업이익,"178,639,965,000",원천계정명: 영업이익(손실),2026-07-09
01390344,329180,HD현대중공업,2023,CFS,CF,영업활동현금흐름,"168,837,181,000",,2026-07-09
01390344,329180,HD현대중공업,2023,CFS,BS,계약자산,"3,760,318,556,000",합산 원천계정: 계약자산|확정계약자산,2026-07-09
01390344,329180,HD현대중공업,2023,CFS,BS,계약부채,"6,052,222,970,000",합산 원천계정: 계약부채|장기계약부채|확정계약부채,2026-07-09
01390344,329180,HD현대중공업,2023,CFS,BS,매출채권,"1,554,641,177,000",합산 원천계정: 매출채권및기타채권|장기매출채권 및 기타채권,2026-07-09
01390344,329180,HD현대중공업,2023,CFS,BS,재고자산,"1,309,807,342,000",,2026-07-09
01390344,329180,HD현대중공업,2022,CFS,CIS,매출액,"9,045,480,488,000",,2026-07-09
01390344,329180,HD현대중공업,2022,CFS,CIS,영업이익,"-289,151,153,000",원천계정명: 영업이익(손실),2026-07-09
01390344,329180,HD현대중공업,2022,CFS,CF,영업활동현금흐름,"71,218,400,000",원천계정명: 영업활동으로 인한 순현금흐름,2026-07-09
01390344,329180,HD현대중공업,2022,CFS,BS,계약자산,"3,588,791,698,000",합산 원천계정: 계약자산|확정계약자산,2026-07-09
01390344,329180,HD현대중공업,2022,CFS,BS,계약부채,"5,063,627,293,000",합산 원천계정: 계약부채|장기계약부채|확정계약부채,2026-07-09
01390344,329180,HD현대중공업,2022,CFS,BS,매출채권,"1,312,753,394,000",합산 원천계정: 매출채권 및 기타채권|장기매출채권 및 기타채권,2026-07-09
01390344,329180,HD현대중공업,2022,CFS,BS,재고자산,"1,377,137,503,000",,2026-07-09
01390344,329180,HD현대중공업,2021,CFS,CIS,매출액,"8,311,275,924,000",,2026-07-09
01390344,329180,HD현대중공업,2021,CFS,CIS,영업이익,"-800,262,777,000",원천계정명: 영업이익(손실),2026-07-09
01390344,329180,HD현대중공업,2021,CFS,CF,영업활동현금흐름,"762,061,398,000",원천계정명: 영업활동으로 인한 순현금흐름,2026-07-09
01390344,329180,HD현대중공업,2021,CFS,BS,계약자산,"3,079,168,517,000",합산 원천계정: 계약자산|확정계약자산,2026-07-09
